repo,pluginStatus,category,readmeLength,fenceMarkCount,practicalVersion,oldScore,practicalV2,delta,ease
nexu-io/open-design,conflict,session,57213,20,2,80,87,7,100
ruvnet/ruflo,unknown,session,29898,18,2,80,61,-19,100
amruthpillai/reactive-resume,conflict,tools,12306,4,2,80,37,-43,100
esengine/DeepSeek-Reasonix,unknown,model,12433,10,2,80,31,-49,70
volcengine/OpenViking,unknown,memory,16213,10,2,80,32,-48,100
Molunerfinn/PicGo,unknown,tools,10940,8,2,50,32,-18,100
titanwings/distilly,unknown,model,17331,10,2,50,46,-4,100
nocobase/nocobase,unknown,tools,6692,2,2,80,47,-33,100
titanwings/colleague-skill,verified-plugin,model,17331,10,2,50,46,-4,100
freestylefly/awesome-gpt-image-2,verified-non-plugin,tools,32609,18,2,50,34,-16,35
anywhere-labs/dsh-desktop,verified-plugin,other,12411,2,2,50,32,-18,70
Tencent/WeKnora,unknown,model,30220,12,2,50,68,18,65
Nagi-ovo/voyager,verified-non-plugin,tools,17667,2,2,80,34,-46,80
anywhere-labs/deepseek-harness-desktop,conflict,other,12411,2,2,50,32,-18,70
tt-a1i/archify,verified-plugin,session,18314,18,2,80,56,-24,100
walkinglabs/learn-harness-engineering,verified-non-plugin,model,39418,22,2,80,63,-17,80
awesome-dsh-plugin/awesome-dsh-plugin,verified-non-plugin,other,634759,6,2,50,24,-26,65
EverMind-AI/EverOS,unknown,model,25962,24,2,80,26,-54,45
MemTensor/MemOS,verified-plugin,model,17406,26,2,50,51,1,30
YaoApp/yao,unknown,tools,1715,0,2,20,11,-9,65
yjh051108/dsh-routing-suite,verified-plugin,workflow,3505,4,2,80,25,-55,100
zhu1090093659/dsh-web,verified-plugin,tools,38710,6,2,80,43,-37,100
zhu1090093659/dsh-web-ui,verified-plugin,theme,38710,6,2,80,43,-37,100
Q00/ouroboros,unknown,model,38109,48,2,80,65,-15,70
ZSeven-W/openpencil,verified-non-plugin,tools,38145,44,2,80,75,-5,100
Devin-AXIS/iPolloWork,verified-non-plugin,skill,17222,18,2,80,25,-55,100
crafter-station/petdex,conflict,tools,7512,8,2,80,28,-52,50
xiaobright/dsh-anchored-standard,verified-plugin,model,39094,20,2,80,42,-38,45
liustack/modlens,verified-plugin,vision,17682,6,2,80,34,-46,70
strukto-ai/mirage,unknown,model,10599,16,2,80,10,-70,100
agentscope-ai/ReMe,verified-plugin,memory,24352,20,2,80,71,-9,65
edison7009/EchoBird,verified-non-plugin,model,10469,4,2,80,47,-33,50
whiteguo233/OpenBiliClaw,unknown,model,39658,34,2,80,73,-7,80
Tiger3807861189/J-Space-Cognition-Suite-V3.7,unknown,tools,14049,12,2,80,45,-35,80
Tiger3807861189/J-Space-Cognition-Suite-V3.6,unknown,tools,14049,12,2,80,45,-35,80
foryourhealth111-pixel/Vibe-Skills,unknown,model,24689,2,2,50,9,-41,35
omdsh-dev/DSH-better-sidebar,verified-plugin,ui,48986,14,2,50,53,3,100
imsai-sh/zhuzhiliao,unknown,tools,4876,2,2,50,0,-50,65
chuspeeism/dashi-taskboard,conflict,skill,13488,30,2,80,18,-62,100
ccch1mneyyy/dsh-TUI,verified-plugin,ui,6554,8,2,80,33,-47,65
dsh-market/dsh-market,verified-plugin,market,11530,8,2,80,42,-38,100
